Category	Use For	Protein	Accession	Entry name	Protein names	Type	Notes	assignment
5	Functional component of EVs: need to determine the mode of association with EVs	CXCL8 IL8	P10145	IL8_HUMAN	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	Cytokines and growth factors		
1	All EVs	HLA-C	P10321	HLAC_HUMAN	"HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)"	non-tissue specific	MHC class I	
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H1-4 H1F4 HIST1H1E	P10412	H14_HUMAN	Histone H1.4 (Histone H1b) (Histone H1s-4)	nucleus	Histones	NUCLEUS-CHROMATIN
2	All EVs	MAPT	P10636	TAU_HUMAN	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	with lipid or membrane protein-binding ability	neurons	Abundant in exomeres
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	BIP	P11021	BIP_HUMAN	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	secretory pathway		ER
1	All EVs	CD37	P11049	CD37_HUMAN	Leukocyte antigen CD37 (Tetraspanin-26) (Tspan-26) (CD antigen CD37)	cell/tissue specific	leukocytes	
2	All EVs	"HSC70,HSPA8"	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	with lipid or membrane protein-binding ability	Heat shock proteins	unknown
1	All EVs	LAMP1	P11279	LAMP1_HUMAN	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)	non-tissue specific		LYSOSOME
5	Functional component of EVs: need to determine the mode of association with EVs	COL11A1 COLL6	P12107	COBA1_HUMAN	Collagen alpha-1(XI) chain			unknown
5	Functional component of EVs: need to determine the mode of association with EVs	COL6A1	P12109	CO6A1_HUMAN	Collagen alpha-1(VI) chain			ER
5	Functional component of EVs: need to determine the mode of association with EVs	COL6A2	P12110	CO6A2_HUMAN	Collagen alpha-2(VI) chain			ER
5	Functional component of EVs: need to determine the mode of association with EVs	COL6A3	P12111	CO6A3_HUMAN	Collagen alpha-3(VI) chain			unknown
2	All EVs	ANXA3 ANX3	P12429	ANXA3_HUMAN	"Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)"	with lipid or membrane protein-binding ability	Annexins	unknown
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	ACTN1	P12814	ACTN1_HUMAN	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	others		unknown
5	Functional component of EVs: need to determine the mode of association with EVs	IL7	P13232	IL7_HUMAN	Interleukin-7 (IL-7)	Cytokines and growth factors		
1	All EVs	LAMP2	P13473	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	non-tissue specific		unknown
1	All EVs	ITGA4 CD49D	P13612	ITA4_HUMAN	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)	non-tissue specific	Integrins	
1	All EVs	HLA-DRB4	P13762	DRB4_HUMAN	"HLA class II histocompatibility antigen, DR beta 4 chain (MHC class II antigen DRB4)"	cell/tissue specific	MHC class II	
2	All EVs	ANXA8 ANX8	P13928	ANXA8_HUMAN	Annexin A8 (Annexin VIII) (Annexin-8) (Vascular anticoagulant-beta) (VAC-beta)	with lipid or membrane protein-binding ability	Annexins	
5	Functional component of EVs: need to determine the mode of association with EVs	COL11A2	P13942	COBA2_HUMAN	Collagen alpha-2(XI) chain			
1	All EVs	CD59	P13987	CD59_HUMAN	CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59)	non-tissue specific	complement-binding proteins	unknown
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	"GRP94,HSP90B1"	P14625	ENPL_HUMAN	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	secretory pathway		ER
1	All EVs	GP9	P14770	GPIX_HUMAN	Platelet glycoprotein IX (GP-IX) (GPIX) (Glycoprotein 9) (CD antigen CD42a)	cell/tissue specific	platelets	
5	Functional component of EVs: need to determine the mode of association with EVs	IL1R1 IL1R IL1RA IL1RT1	P14778	IL1R1_HUMAN	"Interleukin-1 receptor type 1 (IL-1R-1) (IL-1RT-1) (IL-1RT1) (EC 3.2.2.6) (CD121 antigen-like family member A) (Interleukin-1 receptor alpha) (IL-1R-alpha) (Interleukin-1 receptor type I) (p80) (CD antigen CD121a) [Cleaved into: Interleukin-1 receptor type 1, membrane form (mIL-1R1) (mIL-1RI); Interleukin-1 receptor type 1, soluble form (sIL-1R1) (sIL-1RI)]"	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	IL2RB IL15RB	P14784	IL2RB_HUMAN	Interleukin-2 receptor subunit beta (IL-2 receptor subunit beta) (IL-2R subunit beta) (IL-2RB) (High affinity IL-2 receptor subunit beta) (Interleukin-15 receptor subunit beta) (p70-75) (p75) (CD antigen CD122)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	IL9	P15248	IL9_HUMAN	Interleukin-9 (IL-9) (Cytokine P40) (T-cell growth factor P40)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	VEGFA	P15692	VEGFA_HUMAN	Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF)	Cytokines and growth factors		
3	All EVs as purity control	RPS2 RPS4	P15880	RS2_HUMAN	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)	protein and protein/nucleic acid aggregates		RIBOSOME 40S
1	All EVs	H2AX H2AFX	P16104	H2AX_HUMAN	Histone H2AX (H2a/x) (Histone H2A.X)	cell/tissue specific	MHC class II	NUCLEUS-CHROMATIN
1	All EVs	ITGB4	P16144	ITB4_HUMAN	Integrin beta-4 (GP150) (CD antigen CD104)	non-tissue specific	Integrins	PM
1	All EVs	PECAM1	P16284	PECA1_HUMAN	Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)	cell/tissue specific	endothelial cells	
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H1-5 H1F5 HIST1H1B	P16401	H15_HUMAN	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	nucleus	Histones	
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H1-3 H1F3 HIST1H1D	P16402	H13_HUMAN	Histone H1.3 (Histone H1c) (Histone H1s-2)	nucleus	Histones	
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H1-2 H1F2 HIST1H1C	P16403	H12_HUMAN	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)	nucleus	Histones	NUCLEUS-CHROMATIN
1	All EVs	EPCAM	P16422	EPCAM_HUMAN	Epithelial cell adhesion molecule (Ep-CAM) (Adenocarcinoma-associated antigen) (Cell surface glycoprotein Trop-1) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Epithelial glycoprotein 314) (EGP314) (hEGP314) (KS 1/4 antigen) (KSA) (Major gastrointestinal tumor-associated protein GA733-2) (Tumor-associated calcium signal transducer 1) (CD antigen CD326)	cell/tissue specific	epithelial	
5	Functional component of EVs: need to determine the mode of association with EVs	IL7R	P16871	IL7RA_HUMAN	Interleukin-7 receptor subunit alpha (IL-7 receptor subunit alpha) (IL-7R subunit alpha) (IL-7R-alpha) (IL-7RA) (CDw127) (CD antigen CD127)	Cytokines and growth factors		
2	All EVs	HSPA6 HSP70B'	P17066	HSP76_HUMAN	Heat shock 70 kDa protein 6 (Heat shock 70 kDa protein B')	promiscuous incorporation in EVs (and possibly exomeres)	Heat shock proteins	
1	All EVs	ITGA2 CD49B	P17301	ITA2_HUMAN	Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b)	non-tissue specific	Integrins	PM
3	All EVs as purity control	RPL35A GIG33	P18077	RL35A_HUMAN	60S ribosomal protein L35a (Cell growth-inhibiting gene 33 protein) (Large ribosomal subunit protein eL33)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
1	All EVs	ITGB5	P18084	ITB5_HUMAN	Integrin beta-5	non-tissue specific	Integrins	PM
3	All EVs as purity control	RPL7	P18124	RL7_HUMAN	60S ribosomal protein L7 (Large ribosomal subunit protein uL30)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
5	Functional component of EVs: need to determine the mode of association with EVs	IL1RN IL1F3 IL1RA	P18510	IL1RA_HUMAN	Interleukin-1 receptor antagonist protein (IL-1RN) (IL-1ra) (IRAP) (ICIL-1RA) (IL1 inhibitor) (Anakinra)	Cytokines and growth factors		
1	All EVs	ITGB6	P18564	ITB6_HUMAN	Integrin beta-6	non-tissue specific	Integrins	
3	All EVs as purity control	RPL17	P18621	RL17_HUMAN	60S ribosomal protein L17 (60S ribosomal protein L23) (Large ribosomal subunit protein uL22) (PD-1)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
1	All EVs	SDC*	P18827	SDC1_HUMAN	Syndecan-1 (SYND1) (CD antigen CD138)	non-tissue specific	heparan sulfate proteoglycans including syndecans	
1	All EVs	TSPAN8	P19075	TSN8_HUMAN	Tetraspanin-8 (Tspan-8) (Transmembrane 4 superfamily member 3) (Tumor-associated antigen CO-029)	cell/tissue specific	epithelial cell	
1	All EVs	CD53	P19397	CD53_HUMAN	Leukocyte surface antigen CD53 (Cell surface glycoprotein CD53) (Tetraspanin-25) (Tspan-25) (CD antigen CD53)	cell/tissue specific	leukocytes	
1	All EVs	HLA-DPA1 HLA-DP1A HLASB	P20036	DPA1_HUMAN	"HLA class II histocompatibility antigen, DP alpha 1 chain (DP(W3)) (DP(W4)) (HLA-SB alpha chain) (MHC class II DP3-alpha) (MHC class II DPA1)"	cell/tissue specific	MHC class II	
2	All EVs	ANXA7 ANX7 SNX OK/SW-cl.95	P20073	ANXA7_HUMAN	Annexin A7 (Annexin VII) (Annexin-7) (Synexin)	with lipid or membrane protein-binding ability	Annexins	unknown
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H2AC7 H2AFG HIST1H2AD	P20671	H2A1D_HUMAN	Histone H2A type 1-D (Histone H2A.3) (Histone H2A/g)	nucleus	Histones	
5	Functional component of EVs: need to determine the mode of association with EVs	IL11	P20809	IL11_HUMAN	Interleukin-11 (IL-11) (Adipogenesis inhibitory factor) (AGIF) (Oprelvekin)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	COL9A1	P20849	CO9A1_HUMAN	Collagen alpha-1(IX) chain			
5	Functional component of EVs: need to determine the mode of association with EVs	COL5A1	P20908	CO5A1_HUMAN	Collagen alpha-1(V) chain			unknown
1	All EVs	NT5E	P21589	5NTD_HUMAN	5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73)	non-tissue specific	GPI-anchored 5' nucleotidase	
1	All EVs	CD72	P21854	CD72_HUMAN	B-cell differentiation antigen CD72 (Lyb-2) (CD antigen CD72)	non-tissue specific	GPI-anchored 5' nucleotidase	
1	All EVs	CD9	P21926	CD9_HUMAN	CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1) (Tetraspanin-29) (Tspan-29) (p24) (CD antigen CD9)	cell/tissue specific	"absent from NK, B and some MSC"	
3	All EVs as purity control	RPS4Y1 RPS4Y PRO2646	P22090	RS4Y1_HUMAN	"40S ribosomal protein S4, Y isoform 1 (Small ribosomal subunit protein eS4)"	protein and protein/nucleic acid aggregates		
5	Functional component of EVs: need to determine the mode of association with EVs	IL10	P22301	IL10_HUMAN	Interleukin-10 (IL-10) (Cytokine synthesis inhibitory factor) (CSIF)	Cytokines and growth factors		
1	All EVs	AChE-S	P22303	ACES_HUMAN	Acetylcholinesterase (AChE) (EC 3.1.1.7)	cell/tissue specific	neurons	
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H1-6 H1FT H1T HIST1H1T	P22492	H1T_HUMAN	Histone H1t (Testicular H1 histone)	nucleus	Histones	
1	All EVs	ITGA6	P23229	ITA6_HUMAN	Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]	non-tissue specific	Integrins	unknown
3	All EVs as purity control	RPS3 OK/SW-cl.26	P23396	RS3_HUMAN	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	protein and protein/nucleic acid aggregates		RIBOSOME 40S
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H2BC17 H2BFH H2BFN HIST1H2BO	P23527	H2B1O_HUMAN	Histone H2B type 1-O (H2B-clustered histone 17) (Histone H2B.2) (Histone H2B.n) (H2B/n)	nucleus	Histones	
5	Functional component of EVs: need to determine the mode of association with EVs	IL32 NK4 TAIF	P24001	IL32_HUMAN	Interleukin-32 (IL-32) (Natural killer cells protein 4) (Tumor necrosis factor alpha-inducing factor)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	IL4R IL4RA 582J2.1	P24394	IL4RA_HUMAN	Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124) [Cleaved into: Soluble interleukin-4 receptor subunit alpha (Soluble IL-4 receptor subunit alpha) (Soluble IL-4R-alpha) (sIL4Ralpha/prot) (IL-4-binding protein) (IL4-BP)]	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	CXCR1 CMKAR1 IL8RA	P25024	CXCR1_HUMAN	C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (CDw128a) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	CXCR2 IL8RB	P25025	CXCR2_HUMAN	C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (CDw128b) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (IL-8 receptor type 2) (CD antigen CD182)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	COL8A2	P25067	CO8A2_HUMAN	Collagen alpha-2(VIII) chain (Endothelial collagen)			
3	All EVs as purity control	RPS12	P25398	RS12_HUMAN	40S ribosomal protein S12 (Small ribosomal subunit protein eS12)	protein and protein/nucleic acid aggregates		RIBOSOME 40S
5	Functional component of EVs: need to determine the mode of association with EVs	COL5A3	P25940	CO5A3_HUMAN	Collagen alpha-3(V) chain			
1	All EVs	ITGA3 MSK18	P26006	ITA3_HUMAN	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	non-tissue specific	Integrins	PM
1	All EVs	ITGB7	P26010	ITB7_HUMAN	Integrin beta-7 (Gut homing receptor beta subunit)	non-tissue specific	Integrins	
1	All EVs	ITGB8	P26012	ITB8_HUMAN	Integrin beta-8	non-tissue specific	Integrins	PM
3	All EVs as purity control	RPL13 BBC1 OK/SW-cl.46	P26373	RL13_HUMAN	60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
5	Functional component of EVs: need to determine the mode of association with EVs	IL3RA IL3R	P26951	IL3RA_HUMAN	Interleukin-3 receptor subunit alpha (IL-3 receptor subunit alpha) (IL-3R subunit alpha) (IL-3R-alpha) (IL-3RA) (CD antigen CD123)	Cytokines and growth factors		
2	All EVs	ANXA13 ANX13	P27216	ANX13_HUMAN	Annexin A13 (Annexin XIII) (Annexin-13) (Intestine-specific annexin) (ISA)	with lipid or membrane protein-binding ability	Annexins	
3	All EVs as purity control	RPL10 DXS648E QM	P27635	RL10_HUMAN	60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
5	Functional component of EVs: need to determine the mode of association with EVs	COL8A1 C3orf7	P27658	CO8A1_HUMAN	Collagen alpha-1(VIII) chain (Endothelial collagen) [Cleaved into: Vastatin]			
1	All EVs	CD82	P27701	CD82_HUMAN	CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1) (Suppressor of tumorigenicity 6 protein) (Tetraspanin-27) (Tspan-27) (CD antigen CD82)	non-tissue specific	Tetraspanins	
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	CANX	P27824	CALX_HUMAN	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	secretory pathway	Calnexin	ER
5	Functional component of EVs: need to determine the mode of association with EVs	IL1R2 IL1RB	P27930	IL1R2_HUMAN	"Interleukin-1 receptor type 2 (IL-1R-2) (IL-1RT-2) (IL-1RT2) (CD121 antigen-like family member B) (CDw121b) (IL-1 type II receptor) (Interleukin-1 receptor beta) (IL-1R-beta) (Interleukin-1 receptor type II) (CD antigen CD121b) [Cleaved into: Interleukin-1 receptor type 2, membrane form (mIL-1R2) (mIL-1RII); Interleukin-1 receptor type 2, soluble form (sIL-1R2) (sIL-1RII)]"	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	COL4A5	P29400	CO4A5_HUMAN	Collagen alpha-5(IV) chain			
5	Functional component of EVs: need to determine the mode of association with EVs	IL12A NKSF1	P29459	IL12A_HUMAN	Interleukin-12 subunit alpha (IL-12A) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (IL-12 subunit p35) (NK cell stimulatory factor chain 1) (NKSF1)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	IL12B NKSF2	P29460	IL12B_HUMAN	Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (CLMF p40) (IL-12 subunit p40) (NK cell stimulatory factor chain 2) (NKSF2)	Cytokines and growth factors		
1	All EVs	GNA11 GA11	P29992	GNA11_HUMAN	Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (Guanine nucleotide-binding protein G(y) subunit alpha)	non-tissue specific	heterotrimeric G proteins	PM
3	All EVs as purity control	RPL12	P30050	RL12_HUMAN	60S ribosomal protein L12 (Large ribosomal subunit protein uL11)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
1	All EVs	GNA15 GNA16	P30679	GNA15_HUMAN	Guanine nucleotide-binding protein subunit alpha-15 (G alpha-15) (G-protein subunit alpha-15) (Epididymis tissue protein Li 17E) (Guanine nucleotide-binding protein subunit alpha-16) (G alpha-16) (G-protein subunit alpha-16)	non-tissue specific		
5	Functional component of EVs: need to determine the mode of association with EVs	IL2RG	P31785	IL2RG_HUMAN	Cytokine receptor common subunit gamma (Interleukin-2 receptor subunit gamma) (IL-2 receptor subunit gamma) (IL-2R subunit gamma) (IL-2RG) (gammaC) (p64) (CD antigen CD132)	Cytokines and growth factors		
5	Functional component of EVs: need to determine the mode of association with EVs	CSF2RB IL3RB IL5RB	P32927	IL3RB_HUMAN	Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131)	Cytokines and growth factors		
3	All EVs as purity control	RPL9 OK/SW-cl.103; RPL9P7; RPL9P8; RPL9P9	P32969	RL9_HUMAN	60S ribosomal protein L9 (Large ribosomal subunit protein uL6)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
1	All EVs	ABCC1	P33527	MRP1_HUMAN	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	cell/tissue specific	multidrug resistance-associated protein	PM
4	"Subtypes of EVs (e.g. large oncosomes, large EVs) and/or pathologic/atypical state"	H2BC3 H2BFF HIST1H2BB	P33778	H2B1B_HUMAN	Histone H2B type 1-B (H2B-clustered histone 3) (Histone H2B.1) (Histone H2B.f) (H2B/f)	nucleus	Histones	
5	Functional component of EVs: need to determine the mode of association with EVs	IL13 NC30	P35225	IL13_HUMAN	Interleukin-13 (IL-13)	Cytokines and growth factors		
3	All EVs as purity control	RPL22	P35268	RL22_HUMAN	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
1	All EVs	BSG	P35613	BASI_HUMAN	Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)	non-tissue specific	EMMPRIN	PM
3	All EVs as purity control	RPL4 RPL1	P36578	RL4_HUMAN	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
3	All EVs as purity control	RPS19	P39019	RS19_HUMAN	40S ribosomal protein S19 (Small ribosomal subunit protein eS19)	protein and protein/nucleic acid aggregates		RIBOSOME 40S
3	All EVs as purity control	RPL3 OK/SW-cl.32	P39023	RL3_HUMAN	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
5	Functional component of EVs: need to determine the mode of association with EVs	COL15A1	P39059	COFA1_HUMAN	Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV) (Related to endostatin) (Restin-I); Restin-2 (Restin-II); Restin-3 (Restin-III); Restin-4 (Restin-IV)]			
5	Functional component of EVs: need to determine the mode of association with EVs	COL18A1	P39060	COIA1_HUMAN	Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1 (NC1)]			
5	Functional component of EVs: need to determine the mode of association with EVs	IL6ST	P40189	IL6RB_HUMAN	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)	Cytokines and growth factors		unknown
3	All EVs as purity control	RPL13A	P40429	RL13A_HUMAN	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
5	Functional component of EVs: need to determine the mode of association with EVs	IL15	P40933	IL15_HUMAN	Interleukin-15 (IL-15)	Cytokines and growth factors		
2	All EVs	FLOT1	P41440	S19A1_HUMAN	Reduced folate transporter (FOLT) (Intestinal folate carrier 1) (IFC-1) (Placental folate transporter) (Reduced folate carrier protein) (RFC) (hRFC) (Reduced folate transporter 1) (RFT-1) (Solute carrier family 19 member 1) (hSLC19A1)	with lipid or membrane protein-binding ability		PM
3	All EVs as purity control	RPS27 MPS1	P42677	RS27_HUMAN	40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)	protein and protein/nucleic acid aggregates		RIBOSOME 40S
5	Functional component of EVs: need to determine the mode of association with EVs	IL12RB1 IL12R IL12RB	P42701	I12R1_HUMAN	Interleukin-12 receptor subunit beta-1 (IL-12 receptor subunit beta-1) (IL-12R subunit beta-1) (IL-12R-beta-1) (IL-12RB1) (IL-12 receptor beta component) (CD antigen CD212)	Cytokines and growth factors		
3	All EVs as purity control	RPL35	P42766	RL35_HUMAN	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	protein and protein/nucleic acid aggregates		
3	All EVs as purity control	RPL27A	P46776	RL27A_HUMAN	60S ribosomal protein L27a (Large ribosomal subunit protein uL15)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
3	All EVs as purity control	RPL5 MSTP030	P46777	RL5_HUMAN	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
3	All EVs as purity control	RPL21	P46778	RL21_HUMAN	60S ribosomal protein L21 (Large ribosomal subunit protein eL21)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
3	All EVs as purity control	RPL28	P46779	RL28_HUMAN	60S ribosomal protein L28 (Large ribosomal subunit protein eL28)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
3	All EVs as purity control	RPS9	P46781	RS9_HUMAN	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	protein and protein/nucleic acid aggregates		RIBOSOME 40S
3	All EVs as purity control	RPS5	P46782	RS5_HUMAN	"40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]"	protein and protein/nucleic acid aggregates		RIBOSOME 40S
3	All EVs as purity control	RPS10	P46783	RS10_HUMAN	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	protein and protein/nucleic acid aggregates		RIBOSOME 40S
3	All EVs as purity control	RPL29	P47914	RL29_HUMAN	60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)	protein and protein/nucleic acid aggregates		RIBOSOME 60S
